Customer_ID,Customer_Name,Gender,Age,City,Segment,Store_Location,Product_ID,Product_Name,Category,Price,Quantity,Total,Payment_Method,Day,Date
C170,Karan,Male,60,Jalna,Budget,Store_D,P607,Beverages_Item_2,Beverages,374,3,1122,Cash,Thursday,2025-10-23
C143,Mahima,Female,55,Jalna,Regular,Store_C,P200,Beverages_Item_1,Beverages,293,4,1172,UPI,Friday,2025-10-03
C154,Riya,Female,28,Jalna,Premium,Store_D,P832,Beverages_Item_40,Beverages,286,2,572,UPI,Friday,2025-09-12
C132,Raj,Male,55,Nagpur,Premium,Store_D,P680,Personal Care_Item_37,Personal Care,789,4,3156,Card,Sunday,2025-10-12
C175,Arjun,Female,50,Aurangabad,Budget,Store_C,P621,Snacks_Item_50,Snacks,326,3,978,Wallet,Thursday,2025-10-30
C139,Mahima,Male,23,Aurangabad,Regular,Store_A,P647,Stationery_Item_6,Stationery,774,5,3870,Cash,Tuesday,2025-09-30
C153,Neha,Male,21,Mumbai,Budget,Store_B,P542,Electronics_Item_27,Electronics,598,2,1196,UPI,Thursday,2025-09-25
C180,Aarav,Female,48,Nashik,Premium,Store_A,P265,Stationery_Item_12,Stationery,511,4,2044,Wallet,Saturday,2025-09-13
C188,Isha,Male,33,Nashik,Premium,Store_C,P231,Beverages_Item_34,Beverages,272,3,816,Wallet,Tuesday,2025-09-23
C146,Mahima,Female,25,Nagpur,Premium,Store_B,P348,Grocery_Item_42,Grocery,271,4,1084,Card,Tuesday,2025-10-07
C196,Riya,Male,29,Mumbai,Regular,Store_D,P157,Personal Care_Item_49,Personal Care,149,2,298,Card,Saturday,2025-10-04
C151,Isha,Male,43,Mumbai,Budget,Store_C,P502,Beverages_Item_40,Beverages,998,5,4990,Cash,Thursday,2025-10-09
C104,Isha,Female,21,Aurangabad,Budget,Store_A,P971,Stationery_Item_41,Stationery,106,5,530,UPI,Saturday,2025-10-18
C145,Aarav,Female,31,Pune,Regular,Store_A,P108,Grocery_Item_23,Grocery,419,5,2095,Wallet,Wednesday,2025-09-17
C138,Arjun,Male,51,Mumbai,Regular,Store_C,P959,Electronics_Item_24,Electronics,459,1,459,UPI,Friday,2025-10-31
C131,Isha,Female,39,Mumbai,Regular,Store_B,P579,Snacks_Item_6,Snacks,490,1,490,Wallet,Friday,2025-09-19
C102,Mahima,Male,36,Nashik,Premium,Store_A,P227,Stationery_Item_49,Stationery,966,5,4830,Cash,Thursday,2025-10-23
C118,Arjun,Female,32,Pune,Regular,Store_A,P907,Stationery_Item_25,Stationery,672,5,3360,UPI,Monday,2025-11-03
C104,Karan,Male,30,Nashik,Budget,Store_B,P341,Grocery_Item_34,Grocery,544,4,2176,Card,Saturday,2025-10-18
C112,Neha,Female,42,Mumbai,Regular,Store_B,P314,Electronics_Item_28,Electronics,646,2,1292,UPI,Thursday,2025-09-11
C168,Riya,Female,29,Nashik,Premium,Store_B,P475,Grocery_Item_23,Grocery,970,1,970,UPI,Wednesday,2025-09-24
C182,Arjun,Male,53,Nashik,Regular,Store_C,P397,Snacks_Item_36,Snacks,112,3,336,Card,Monday,2025-09-15
C115,Riya,Male,34,Nagpur,Premium,Store_B,P464,Stationery_Item_40,Stationery,542,2,1084,Cash,Friday,2025-09-19
C187,Mahima,Male,60,Nagpur,Premium,Store_C,P958,Stationery_Item_21,Stationery,924,3,2772,Cash,Thursday,2025-10-16
C153,Karan,Male,33,Nagpur,Premium,Store_A,P360,Stationery_Item_45,Stationery,754,4,3016,Cash,Thursday,2025-10-02
C100,Raj,Female,59,Nashik,Premium,Store_A,P745,Snacks_Item_24,Snacks,260,2,520,Cash,Tuesday,2025-10-21
C146,Aarav,Male,40,Nagpur,Premium,Store_B,P366,Electronics_Item_33,Electronics,918,2,1836,Wallet,Sunday,2025-09-14
C145,Sneha,Male,27,Pune,Budget,Store_D,P341,Stationery_Item_8,Stationery,370,3,1110,Card,Friday,2025-09-19
C197,Arjun,Female,18,Pune,Regular,Store_B,P316,Electronics_Item_10,Electronics,301,3,903,Wallet,Monday,2025-09-15
C121,Vikram,Male,21,Nashik,Regular,Store_C,P957,Snacks_Item_5,Snacks,425,4,1700,Wallet,Monday,2025-11-10
C163,Neha,Female,30,Mumbai,Regular,Store_C,P456,Stationery_Item_47,Stationery,302,3,906,UPI,Wednesday,2025-09-24
C121,Aarav,Female,34,Nagpur,Budget,Store_A,P210,Personal Care_Item_49,Personal Care,755,1,755,Card,Thursday,2025-09-25
C123,Arjun,Male,24,Pune,Regular,Store_A,P966,Snacks_Item_8,Snacks,595,5,2975,Wallet,Friday,2025-10-24
C119,Karan,Female,21,Aurangabad,Regular,Store_D,P457,Beverages_Item_7,Beverages,107,1,107,Cash,Thursday,2025-09-18
C142,Aarav,Female,59,Aurangabad,Premium,Store_A,P122,Personal Care_Item_7,Personal Care,395,3,1185,Cash,Thursday,2025-10-09
C190,Raj,Male,26,Pune,Premium,Store_B,P942,Stationery_Item_44,Stationery,143,3,429,UPI,Tuesday,2025-09-30
C172,Riya,Female,50,Aurangabad,Regular,Store_B,P346,Stationery_Item_17,Stationery,432,2,864,Wallet,Wednesday,2025-09-24
C105,Arjun,Female,44,Jalna,Regular,Store_B,P982,Stationery_Item_8,Stationery,363,1,363,Cash,Thursday,2025-10-23
C183,Isha,Female,35,Aurangabad,Budget,Store_A,P924,Grocery_Item_20,Grocery,132,5,660,UPI,Thursday,2025-10-02
C144,Vikram,Female,31,Nashik,Regular,Store_C,P186,Beverages_Item_23,Beverages,828,2,1656,Wallet,Thursday,2025-09-25
C199,Sneha,Male,47,Nashik,Premium,Store_C,P758,Stationery_Item_1,Stationery,57,2,114,Card,Wednesday,2025-10-08
C111,Aarav,Female,39,Jalna,Regular,Store_A,P170,Beverages_Item_16,Beverages,608,2,1216,Cash,Sunday,2025-10-26
C115,Vikram,Female,49,Mumbai,Regular,Store_A,P468,Snacks_Item_30,Snacks,462,3,1386,Cash,Tuesday,2025-11-04
C172,Karan,Male,46,Mumbai,Budget,Store_C,P846,Stationery_Item_44,Stationery,668,5,3340,Cash,Friday,2025-09-19
C182,Raj,Male,49,Mumbai,Regular,Store_D,P915,Snacks_Item_46,Snacks,605,5,3025,Card,Monday,2025-09-15
C191,Sneha,Female,37,Aurangabad,Budget,Store_B,P351,Snacks_Item_17,Snacks,822,5,4110,Wallet,Monday,2025-09-29
C199,Raj,Female,28,Nagpur,Regular,Store_D,P425,Personal Care_Item_40,Personal Care,94,4,376,Wallet,Saturday,2025-10-04
C104,Raj,Male,38,Nashik,Budget,Store_D,P944,Electronics_Item_6,Electronics,482,4,1928,Wallet,Friday,2025-10-03
C136,Neha,Female,34,Aurangabad,Premium,Store_D,P837,Stationery_Item_35,Stationery,120,1,120,Wallet,Sunday,2025-10-12
C183,Arjun,Female,28,Mumbai,Premium,Store_C,P138,Beverages_Item_49,Beverages,966,3,2898,UPI,Tuesday,2025-10-07
C144,Neha,Male,37,Jalna,Premium,Store_C,P399,Personal Care_Item_1,Personal Care,36,3,108,Cash,Wednesday,2025-09-17
C154,Aarav,Male,51,Pune,Premium,Store_D,P550,Stationery_Item_30,Stationery,871,4,3484,Cash,Wednesday,2025-09-24
C195,Aarav,Male,59,Pune,Premium,Store_B,P690,Beverages_Item_7,Beverages,236,1,236,Wallet,Thursday,2025-11-06
C192,Raj,Male,58,Nashik,Regular,Store_D,P805,Electronics_Item_25,Electronics,291,3,873,Card,Tuesday,2025-10-28
C144,Neha,Female,49,Nagpur,Premium,Store_A,P356,Personal Care_Item_25,Personal Care,836,1,836,UPI,Saturday,2025-09-27
C161,Sneha,Female,25,Nashik,Regular,Store_C,P913,Beverages_Item_46,Beverages,822,2,1644,Wallet,Thursday,2025-11-06
C157,Mahima,Male,58,Nagpur,Budget,Store_B,P895,Personal Care_Item_32,Personal Care,998,1,998,UPI,Wednesday,2025-10-08
C151,Karan,Female,43,Pune,Premium,Store_B,P657,Stationery_Item_12,Stationery,228,5,1140,Card,Tuesday,2025-11-04
C112,Isha,Female,36,Nashik,Budget,Store_A,P495,Snacks_Item_24,Snacks,805,4,3220,Card,Tuesday,2025-10-07
C106,Isha,Female,47,Pune,Budget,Store_A,P210,Snacks_Item_45,Snacks,80,2,160,UPI,Thursday,2025-10-30
C173,Neha,Female,45,Pune,Budget,Store_D,P178,Personal Care_Item_9,Personal Care,519,5,2595,Wallet,Saturday,2025-10-04
C134,Sneha,Male,33,Pune,Premium,Store_A,P524,Beverages_Item_44,Beverages,527,2,1054,Wallet,Tuesday,2025-09-16
C117,Sneha,Female,37,Nashik,Budget,Store_C,P606,Beverages_Item_4,Beverages,636,1,636,UPI,Sunday,2025-11-02
C100,Mahima,Female,55,Jalna,Regular,Store_B,P967,Personal Care_Item_38,Personal Care,398,2,796,UPI,Wednesday,2025-10-08
C102,Isha,Male,22,Jalna,Premium,Store_A,P405,Personal Care_Item_47,Personal Care,705,1,705,Wallet,Monday,2025-10-13
C162,Sneha,Female,39,Mumbai,Premium,Store_B,P459,Personal Care_Item_3,Personal Care,330,1,330,Cash,Friday,2025-10-03
C102,Riya,Male,52,Aurangabad,Regular,Store_C,P435,Stationery_Item_9,Stationery,907,1,907,UPI,Monday,2025-09-29
C145,Neha,Male,20,Nashik,Budget,Store_A,P656,Electronics_Item_15,Electronics,648,3,1944,UPI,Friday,2025-10-17
C135,Isha,Female,51,Nagpur,Regular,Store_A,P790,Electronics_Item_11,Electronics,445,3,1335,Cash,Sunday,2025-10-26
C102,Vikram,Male,48,Nagpur,Budget,Store_D,P372,Personal Care_Item_10,Personal Care,561,3,1683,UPI,Friday,2025-11-07
C117,Mahima,Male,54,Pune,Budget,Store_C,P974,Electronics_Item_36,Electronics,731,5,3655,UPI,Thursday,2025-10-30
C183,Raj,Male,18,Mumbai,Premium,Store_D,P526,Grocery_Item_47,Grocery,47,1,47,UPI,Saturday,2025-10-25
C113,Sneha,Female,42,Nashik,Budget,Store_A,P701,Electronics_Item_42,Electronics,568,2,1136,Cash,Thursday,2025-09-11
C106,Vikram,Male,27,Mumbai,Premium,Store_B,P335,Personal Care_Item_48,Personal Care,68,2,136,Cash,Monday,2025-09-22
C133,Sneha,Female,25,Aurangabad,Premium,Store_A,P873,Personal Care_Item_34,Personal Care,372,3,1116,Wallet,Wednesday,2025-10-01
C141,Mahima,Female,38,Mumbai,Premium,Store_C,P220,Beverages_Item_8,Beverages,377,5,1885,Wallet,Monday,2025-10-27
C124,Isha,Female,23,Mumbai,Regular,Store_B,P798,Snacks_Item_22,Snacks,427,3,1281,Card,Thursday,2025-10-16
C138,Riya,Female,54,Mumbai,Regular,Store_B,P174,Snacks_Item_40,Snacks,340,5,1700,Wallet,Saturday,2025-09-20
C104,Sneha,Female,40,Pune,Regular,Store_D,P321,Grocery_Item_33,Grocery,722,2,1444,UPI,Friday,2025-09-12
C176,Aarav,Male,30,Mumbai,Budget,Store_C,P375,Snacks_Item_5,Snacks,967,3,2901,Wallet,Friday,2025-11-07
C100,Karan,Male,38,Jalna,Regular,Store_C,P889,Snacks_Item_47,Snacks,369,4,1476,UPI,Friday,2025-09-19
C135,Mahima,Female,27,Aurangabad,Premium,Store_A,P377,Electronics_Item_50,Electronics,659,3,1977,Cash,Thursday,2025-11-06
C139,Aarav,Male,60,Mumbai,Budget,Store_B,P498,Stationery_Item_13,Stationery,404,1,404,UPI,Friday,2025-10-10
C146,Isha,Female,45,Nashik,Premium,Store_A,P932,Snacks_Item_45,Snacks,146,4,584,Wallet,Thursday,2025-09-25
C130,Sneha,Male,33,Nashik,Regular,Store_B,P926,Grocery_Item_12,Grocery,907,2,1814,UPI,Thursday,2025-10-02
C191,Karan,Female,53,Aurangabad,Budget,Store_B,P268,Beverages_Item_20,Beverages,451,4,1804,UPI,Monday,2025-09-29
C152,Raj,Female,39,Jalna,Regular,Store_D,P857,Stationery_Item_32,Stationery,365,3,1095,UPI,Saturday,2025-09-13
C115,Sneha,Male,50,Aurangabad,Budget,Store_D,P501,Beverages_Item_18,Beverages,440,2,880,Wallet,Saturday,2025-09-20
C144,Arjun,Male,47,Nagpur,Budget,Store_A,P390,Snacks_Item_36,Snacks,196,1,196,Cash,Wednesday,2025-10-01
C165,Riya,Male,34,Pune,Premium,Store_C,P848,Stationery_Item_31,Stationery,881,1,881,UPI,Wednesday,2025-09-17
C132,Raj,Female,36,Aurangabad,Regular,Store_C,P389,Beverages_Item_12,Beverages,275,2,550,Cash,Friday,2025-10-10
C187,Arjun,Female,31,Aurangabad,Budget,Store_B,P153,Beverages_Item_6,Beverages,317,4,1268,Wallet,Saturday,2025-11-08
C112,Riya,Male,21,Nashik,Regular,Store_A,P387,Beverages_Item_13,Beverages,844,3,2532,UPI,Thursday,2025-09-25
C132,Raj,Male,47,Aurangabad,Regular,Store_C,P692,Beverages_Item_15,Beverages,712,5,3560,UPI,Tuesday,2025-10-28
C197,Aarav,Male,50,Jalna,Premium,Store_B,P459,Grocery_Item_15,Grocery,990,3,2970,UPI,Friday,2025-10-24
C169,Arjun,Male,56,Pune,Budget,Store_A,P818,Personal Care_Item_40,Personal Care,782,5,3910,Cash,Tuesday,2025-10-07
C166,Aarav,Female,36,Jalna,Budget,Store_B,P651,Grocery_Item_29,Grocery,65,1,65,Card,Wednesday,2025-10-22
C131,Riya,Male,25,Jalna,Budget,Store_B,P322,Snacks_Item_38,Snacks,573,3,1719,Cash,Thursday,2025-11-06
C123,Vikram,Female,33,Mumbai,Budget,Store_D,P865,Snacks_Item_6,Snacks,703,5,3515,Cash,Monday,2025-09-22
C187,Vikram,Female,59,Nagpur,Premium,Store_B,P245,Personal Care_Item_42,Personal Care,203,5,1015,Cash,Saturday,2025-11-01
C177,Neha,Female,32,Pune,Budget,Store_D,P291,Snacks_Item_44,Snacks,725,4,2900,Cash,Sunday,2025-10-12
C122,Raj,Male,34,Aurangabad,Premium,Store_D,P442,Grocery_Item_28,Grocery,421,1,421,Card,Friday,2025-10-17
C126,Mahima,Female,49,Aurangabad,Premium,Store_A,P110,Personal Care_Item_16,Personal Care,864,1,864,Card,Thursday,2025-10-23
C176,Vikram,Male,50,Aurangabad,Regular,Store_B,P891,Electronics_Item_2,Electronics,659,4,2636,Card,Friday,2025-10-24
C169,Neha,Male,51,Aurangabad,Budget,Store_D,P616,Grocery_Item_11,Grocery,439,2,878,UPI,Monday,2025-11-10
C176,Karan,Male,49,Jalna,Budget,Store_B,P736,Personal Care_Item_39,Personal Care,118,2,236,Wallet,Sunday,2025-09-14
C177,Arjun,Female,29,Jalna,Budget,Store_A,P758,Grocery_Item_25,Grocery,584,4,2336,Cash,Saturday,2025-11-01
C196,Riya,Male,53,Mumbai,Premium,Store_A,P137,Beverages_Item_23,Beverages,56,5,280,Cash,Sunday,2025-11-09
C103,Neha,Male,45,Pune,Budget,Store_C,P272,Beverages_Item_42,Beverages,320,4,1280,Cash,Wednesday,2025-10-22
C176,Aarav,Female,23,Nashik,Regular,Store_C,P878,Snacks_Item_19,Snacks,961,2,1922,Wallet,Wednesday,2025-11-05
C182,Aarav,Female,49,Jalna,Premium,Store_A,P342,Personal Care_Item_42,Personal Care,186,2,372,UPI,Tuesday,2025-10-21
C116,Arjun,Male,24,Mumbai,Premium,Store_B,P141,Beverages_Item_11,Beverages,398,3,1194,Card,Wednesday,2025-10-15
C114,Karan,Female,50,Nashik,Regular,Store_D,P256,Grocery_Item_27,Grocery,380,5,1900,Wallet,Thursday,2025-10-16
C155,Aarav,Male,45,Nagpur,Regular,Store_A,P596,Personal Care_Item_1,Personal Care,928,4,3712,Wallet,Monday,2025-10-20
C109,Raj,Female,28,Jalna,Budget,Store_D,P801,Beverages_Item_40,Beverages,476,3,1428,Wallet,Tuesday,2025-09-30
C131,Aarav,Female,56,Jalna,Budget,Store_A,P831,Beverages_Item_42,Beverages,350,2,700,Cash,Thursday,2025-09-11
C127,Karan,Male,49,Nagpur,Premium,Store_C,P108,Electronics_Item_10,Electronics,583,5,2915,Wallet,Wednesday,2025-10-22
C140,Arjun,Male,49,Pune,Premium,Store_A,P414,Personal Care_Item_14,Personal Care,321,4,1284,UPI,Wednesday,2025-09-24
C149,Vikram,Male,57,Nashik,Regular,Store_C,P798,Stationery_Item_48,Stationery,357,2,714,UPI,Sunday,2025-10-26
C181,Mahima,Male,34,Pune,Budget,Store_D,P865,Personal Care_Item_34,Personal Care,181,2,362,UPI,Monday,2025-09-29
C191,Arjun,Male,58,Aurangabad,Premium,Store_D,P601,Stationery_Item_24,Stationery,311,1,311,Cash,Friday,2025-10-03
C177,Karan,Female,41,Mumbai,Premium,Store_C,P703,Grocery_Item_39,Grocery,790,3,2370,UPI,Sunday,2025-10-19
C135,Neha,Female,20,Aurangabad,Regular,Store_C,P665,Snacks_Item_44,Snacks,103,4,412,Cash,Tuesday,2025-11-04
C141,Karan,Male,38,Nashik,Premium,Store_D,P609,Stationery_Item_19,Stationery,758,5,3790,Card,Wednesday,2025-11-05
C142,Isha,Female,20,Jalna,Regular,Store_C,P329,Beverages_Item_10,Beverages,806,5,4030,Wallet,Tuesday,2025-09-30
C104,Karan,Male,24,Nashik,Budget,Store_A,P830,Beverages_Item_13,Beverages,580,5,2900,Cash,Saturday,2025-09-13
C166,Isha,Male,33,Pune,Budget,Store_C,P109,Personal Care_Item_37,Personal Care,700,3,2100,Cash,Saturday,2025-10-11
C123,Aarav,Male,49,Nashik,Budget,Store_D,P706,Electronics_Item_17,Electronics,80,3,240,Card,Friday,2025-10-03
C156,Sneha,Male,51,Nashik,Regular,Store_A,P985,Personal Care_Item_5,Personal Care,649,4,2596,Wallet,Sunday,2025-09-28
C149,Riya,Female,44,Mumbai,Premium,Store_A,P585,Personal Care_Item_34,Personal Care,722,1,722,Card,Friday,2025-10-24
C157,Raj,Male,58,Aurangabad,Budget,Store_A,P856,Stationery_Item_8,Stationery,764,3,2292,UPI,Saturday,2025-10-25
C126,Arjun,Male,39,Aurangabad,Regular,Store_C,P766,Personal Care_Item_49,Personal Care,817,1,817,UPI,Sunday,2025-10-26
C132,Neha,Male,54,Aurangabad,Budget,Store_A,P135,Stationery_Item_36,Stationery,481,1,481,Card,Monday,2025-09-15
C105,Mahima,Female,47,Pune,Regular,Store_B,P224,Stationery_Item_22,Stationery,600,1,600,UPI,Saturday,2025-09-20
C152,Isha,Male,59,Nagpur,Budget,Store_C,P184,Beverages_Item_17,Beverages,474,2,948,UPI,Monday,2025-09-22
C126,Vikram,Male,50,Mumbai,Premium,Store_A,P530,Beverages_Item_14,Beverages,673,3,2019,Cash,Wednesday,2025-09-17
C136,Arjun,Female,23,Jalna,Premium,Store_B,P721,Beverages_Item_31,Beverages,609,2,1218,Cash,Monday,2025-09-15
C194,Mahima,Female,23,Jalna,Premium,Store_D,P119,Snacks_Item_13,Snacks,445,2,890,Card,Tuesday,2025-10-14
C134,Mahima,Female,30,Pune,Regular,Store_A,P158,Electronics_Item_25,Electronics,149,3,447,Card,Friday,2025-09-26
C101,Raj,Male,33,Nashik,Premium,Store_D,P811,Grocery_Item_21,Grocery,630,1,630,UPI,Sunday,2025-11-09
C164,Karan,Female,21,Mumbai,Premium,Store_D,P378,Grocery_Item_13,Grocery,808,1,808,Wallet,Thursday,2025-09-25
C103,Isha,Female,27,Nashik,Regular,Store_A,P520,Electronics_Item_31,Electronics,842,3,2526,UPI,Sunday,2025-11-09
C145,Mahima,Male,46,Nagpur,Budget,Store_C,P754,Personal Care_Item_44,Personal Care,505,4,2020,UPI,Saturday,2025-11-01
C197,Arjun,Male,50,Nagpur,Budget,Store_B,P384,Electronics_Item_3,Electronics,816,2,1632,UPI,Thursday,2025-09-25
C110,Arjun,Female,34,Jalna,Budget,Store_A,P136,Stationery_Item_7,Stationery,893,2,1786,Card,Wednesday,2025-10-01
C117,Isha,Female,24,Nashik,Budget,Store_C,P812,Beverages_Item_27,Beverages,840,4,3360,UPI,Monday,2025-10-06
C139,Aarav,Female,56,Mumbai,Premium,Store_D,P508,Stationery_Item_23,Stationery,67,2,134,UPI,Thursday,2025-10-02
C144,Sneha,Female,60,Nagpur,Premium,Store_C,P958,Grocery_Item_47,Grocery,74,4,296,Cash,Saturday,2025-09-20
C130,Vikram,Male,37,Jalna,Regular,Store_B,P807,Personal Care_Item_42,Personal Care,362,3,1086,UPI,Tuesday,2025-10-21
C138,Arjun,Male,28,Nagpur,Regular,Store_D,P504,Electronics_Item_19,Electronics,396,2,792,UPI,Tuesday,2025-10-07
C158,Mahima,Female,47,Mumbai,Budget,Store_C,P646,Stationery_Item_33,Stationery,198,2,396,Cash,Sunday,2025-10-26
C180,Neha,Male,46,Pune,Budget,Store_D,P557,Electronics_Item_38,Electronics,502,4,2008,Card,Sunday,2025-10-19
C112,Mahima,Female,36,Pune,Premium,Store_B,P666,Beverages_Item_5,Beverages,876,4,3504,Card,Tuesday,2025-10-07
C125,Vikram,Male,43,Pune,Premium,Store_B,P539,Electronics_Item_8,Electronics,981,4,3924,Wallet,Thursday,2025-10-30
C126,Neha,Male,21,Nagpur,Premium,Store_B,P389,Personal Care_Item_8,Personal Care,991,5,4955,Card,Wednesday,2025-09-17
C159,Sneha,Male,23,Mumbai,Premium,Store_A,P125,Stationery_Item_10,Stationery,431,4,1724,Card,Saturday,2025-09-13
